CommonName,Easting,Northing,SP_GEOMETRY
Holly Blue,450800,165100,System.__ComObject
Holly Blue,451000,165200,System.__ComObject
Holly Blue,450700,165300,System.__ComObject
Holly Blue,450800,165100,System.__ComObject
Holly Blue,433100,177200,System.__ComObject
Holly Blue,433100,177200,System.__ComObject
Holly Blue,443900,167800,System.__ComObject
Holly Blue,469400,183000,System.__ComObject
Holly Blue,451600,204100,System.__ComObject
Holly Blue,427400,207300,System.__ComObject
Holly Blue,461200,163380,System.__ComObject
Holly Blue,461200,163380,System.__ComObject
Holly Blue,461200,163380,System.__ComObject
Holly Blue,461090,163380,System.__ComObject
Holly Blue,461090,163380,System.__ComObject
Holly Blue,461090,163380,System.__ComObject
Holly Blue,461090,163380,System.__ComObject
Holly Blue,461090,163380,System.__ComObject
Holly Blue,461060,163370,System.__ComObject
Holly Blue,461020,163470,System.__ComObject
Holly Blue,461020,163470,System.__ComObject
Holly Blue,461380,163480,System.__ComObject
Holly Blue,461380,163480,System.__ComObject
Holly Blue,461380,163480,System.__ComObject
Holly Blue,461380,163480,System.__ComObject
Holly Blue,461300,163370,System.__ComObject
Holly Blue,461260,163320,System.__ComObject
Holly Blue,461200,163380,System.__ComObject
Holly Blue,461200,163380,System.__ComObject
Holly Blue,463370,173790,System.__ComObject
Holly Blue,463370,173790,System.__ComObject
Holly Blue,463510,174140,System.__ComObject
Holly Blue,463840,174110,System.__ComObject
Holly Blue,463370,173790,System.__ComObject
Holly Blue,463370,173790,System.__ComObject
Holly Blue,463370,173790,System.__ComObject
Holly Blue,463370,173790,System.__ComObject
Holly Blue,463450,173940,System.__ComObject
Holly Blue,463450,173940,System.__ComObject
Holly Blue,463450,173940,System.__ComObject
Holly Blue,463450,173940,System.__ComObject
Holly Blue,463450,173940,System.__ComObject
Holly Blue,463450,173940,System.__ComObject
Holly Blue,463450,173940,System.__ComObject
Holly Blue,463450,173940,System.__ComObject
Holly Blue,463450,173940,System.__ComObject
Holly Blue,463450,173940,System.__ComObject
Holly Blue,463450,173940,System.__ComObject
Holly Blue,463450,173940,System.__ComObject
Holly Blue,463930,173950,System.__ComObject
Holly Blue,463930,173950,System.__ComObject
Holly Blue,463930,173950,System.__ComObject
Holly Blue,478500,175800,System.__ComObject
Holly Blue,477934,164251,System.__ComObject
Holly Blue,477934,164251,System.__ComObject
Holly Blue,477983,164471,System.__ComObject
Holly Blue,477983,164471,System.__ComObject
Holly Blue,477983,164471,System.__ComObject
Holly Blue,477983,164471,System.__ComObject
Holly Blue,477983,164471,System.__ComObject
Holly Blue,477983,164471,System.__ComObject
Holly Blue,477983,164471,System.__ComObject
Holly Blue,477983,164471,System.__ComObject
Holly Blue,477934,164251,System.__ComObject
Holly Blue,477934,164251,System.__ComObject
Holly Blue,477934,164251,System.__ComObject
Holly Blue,477934,164251,System.__ComObject
Holly Blue,477934,164251,System.__ComObject
Holly Blue,477934,164251,System.__ComObject
Holly Blue,477983,164471,System.__ComObject
Holly Blue,477983,164471,System.__ComObject
Holly Blue,477983,164471,System.__ComObject
Holly Blue,478142,164478,System.__ComObject
Holly Blue,478142,164478,System.__ComObject
Holly Blue,478142,164478,System.__ComObject
Holly Blue,478142,164478,System.__ComObject
Holly Blue,478390,176000,System.__ComObject
Holly Blue,478390,176000,System.__ComObject
Holly Blue,463400,173800,System.__ComObject
Holly Blue,461500,163500,System.__ComObject
Holly Blue,478500,175800,System.__ComObject
Holly Blue,478500,175800,System.__ComObject
Holly Blue,461500,163500,System.__ComObject
Holly Blue,463500,174000,System.__ComObject
Holly Blue,463400,173800,System.__ComObject
Holly Blue,463400,173800,System.__ComObject
Holly Blue,463500,174000,System.__ComObject
Holly Blue,464000,173900,System.__ComObject
Holly Blue,463500,174000,System.__ComObject
Holly Blue,461500,163500,System.__ComObject
Holly Blue,478500,175800,System.__ComObject
Holly Blue,463500,174000,System.__ComObject
Holly Blue,461300,163600,System.__ComObject
Holly Blue,478500,175800,System.__ComObject
Holly Blue,478500,175800,System.__ComObject
Holly Blue,478500,175800,System.__ComObject
Holly Blue,478500,175800,System.__ComObject
Holly Blue,463400,173800,System.__ComObject
Holly Blue,463500,174000,System.__ComObject
Holly Blue,478500,175800,System.__ComObject
Holly Blue,463500,174200,System.__ComObject
Holly Blue,461500,163500,System.__ComObject
Holly Blue,461500,163500,System.__ComObject
Holly Blue,461500,163500,System.__ComObject
Holly Blue,461500,163500,System.__ComObject
Holly Blue,478500,175800,System.__ComObject
Holly Blue,478500,175800,System.__ComObject
Holly Blue,463300,173800,System.__ComObject
Holly Blue,463500,174000,System.__ComObject
Holly Blue,461500,163500,System.__ComObject
Holly Blue,463500,174000,System.__ComObject
Holly Blue,478500,175800,System.__ComObject
Holly Blue,478500,175800,System.__ComObject
Holly Blue,478500,175800,System.__ComObject
Holly Blue,461500,163500,System.__ComObject
Holly Blue,461500,163500,System.__ComObject
