SP_GEOMETRY,CommonName,Easting,Northing
System.__ComObject,Whitethroat,478450,175690
System.__ComObject,Whitethroat,485170,179940
System.__ComObject,Whitethroat,485620,162890
System.__ComObject,Whitethroat,435376,200464
System.__ComObject,Whitethroat,472000,188000
System.__ComObject,Whitethroat,435876,200956
System.__ComObject,Whitethroat,435876,200956
System.__ComObject,Whitethroat,435876,200956
System.__ComObject,Whitethroat,435876,200956
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,457000,214000
System.__ComObject,Whitethroat,457000,214400
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,470000,170200
System.__ComObject,Whitethroat,457000,212800
System.__ComObject,Whitethroat,443712,242609
System.__ComObject,Whitethroat,480700,162400
System.__ComObject,Whitethroat,480700,162400
System.__ComObject,Whitethroat,481400,162300
System.__ComObject,Whitethroat,481400,162300
System.__ComObject,Whitethroat,481400,162300
System.__ComObject,Whitethroat,481400,162300
System.__ComObject,Whitethroat,481400,162300
System.__ComObject,Whitethroat,483984,162752
System.__ComObject,Whitethroat,483984,162752
System.__ComObject,Whitethroat,484140,162668
System.__ComObject,Whitethroat,484385,162476
System.__ComObject,Whitethroat,484591,162872
System.__ComObject,Whitethroat,484591,162872
System.__ComObject,Whitethroat,484701,162992
System.__ComObject,Whitethroat,484790,163168
System.__ComObject,Whitethroat,484790,163168
System.__ComObject,Whitethroat,484790,163168
System.__ComObject,Whitethroat,435876,200956
System.__ComObject,Whitethroat,464053,219964
System.__ComObject,Whitethroat,464053,219964
System.__ComObject,Whitethroat,435586,201300
System.__ComObject,Whitethroat,436669,200872
System.__ComObject,Whitethroat,459918,185384
System.__ComObject,Whitethroat,436492,200865
System.__ComObject,Whitethroat,435310,201051
System.__ComObject,Whitethroat,435404,199914
System.__ComObject,Whitethroat,435994,200765
System.__ComObject,Whitethroat,484701,162992
System.__ComObject,Whitethroat,435994,200765
System.__ComObject,Whitethroat,435376,200464
System.__ComObject,Whitethroat,435628,201115
System.__ComObject,Whitethroat,434849,200142
System.__ComObject,Whitethroat,436244,201010
System.__ComObject,Whitethroat,462141,201199
System.__ComObject,Whitethroat,435387,201220
System.__ComObject,Whitethroat,459918,185384
System.__ComObject,Whitethroat,435830,200503
System.__ComObject,Whitethroat,433677,168820
System.__ComObject,Whitethroat,463684,220024
System.__ComObject,Whitethroat,453782,227088
System.__ComObject,Whitethroat,436669,200872
System.__ComObject,Whitethroat,453713,227398
System.__ComObject,Whitethroat,437051,164091
System.__ComObject,Whitethroat,436244,201360
System.__ComObject,Whitethroat,483863,162845
System.__ComObject,Whitethroat,435999,201519
System.__ComObject,Whitethroat,483984,162752
System.__ComObject,Whitethroat,437051,164091
System.__ComObject,Whitethroat,435999,201519
System.__ComObject,Whitethroat,453569,227254
System.__ComObject,Whitethroat,459247,214096
System.__ComObject,Whitethroat,435340,200574
System.__ComObject,Whitethroat,484385,162476
System.__ComObject,Whitethroat,484701,162992
System.__ComObject,Whitethroat,464053,219964
System.__ComObject,Whitethroat,453817,227274
System.__ComObject,Whitethroat,460532,214022
System.__ComObject,Whitethroat,435340,200574
System.__ComObject,Whitethroat,436108,200980
System.__ComObject,Whitethroat,436543,201361
System.__ComObject,Whitethroat,436543,201361
System.__ComObject,Whitethroat,463684,220024
System.__ComObject,Whitethroat,460297,185658
System.__ComObject,Whitethroat,484834,162965
System.__ComObject,Whitethroat,459019,214294
System.__ComObject,Whitethroat,459247,214096
System.__ComObject,Whitethroat,435147,199623
System.__ComObject,Whitethroat,435857,200965
