CommonName,RecYear,Easting,Northing,SP_GEOMETRY
Holly Blue,2002,433100,177000,System.__ComObject
Holly Blue,2007,437000,164000,System.__ComObject
Holly Blue,2004,451200,165300,System.__ComObject
Holly Blue,2004,450700,165300,System.__ComObject
Holly Blue,2004,450800,165400,System.__ComObject
Holly Blue,2004,450500,165300,System.__ComObject
Holly Blue,2004,432900,182800,System.__ComObject
Holly Blue,2002,450800,165000,System.__ComObject
Holly Blue,2002,450800,165000,System.__ComObject
Holly Blue,2002,450800,165000,System.__ComObject
Holly Blue,2002,450800,165000,System.__ComObject
Holly Blue,2003,432900,182700,System.__ComObject
Holly Blue,2003,432900,182700,System.__ComObject
Holly Blue,2003,432900,182800,System.__ComObject
Holly Blue,2003,432900,182800,System.__ComObject
Holly Blue,2003,450800,165000,System.__ComObject
Holly Blue,2003,450800,165000,System.__ComObject
Holly Blue,2003,450800,165000,System.__ComObject
Holly Blue,2004,432900,182800,System.__ComObject
Holly Blue,2004,450800,165100,System.__ComObject
Holly Blue,2004,451000,165200,System.__ComObject
Holly Blue,2004,450700,165300,System.__ComObject
Holly Blue,2004,450800,165100,System.__ComObject
Holly Blue,2005,433100,177200,System.__ComObject
Holly Blue,2005,433100,177200,System.__ComObject
Holly Blue,2013,443900,167800,System.__ComObject
Holly Blue,1995,469400,183000,System.__ComObject
Holly Blue,2003,451600,204100,System.__ComObject
Holly Blue,2010,427400,207300,System.__ComObject
Holly Blue,2004,461200,163380,System.__ComObject
Holly Blue,2004,461200,163380,System.__ComObject
Holly Blue,2008,461200,163380,System.__ComObject
Holly Blue,2003,461090,163380,System.__ComObject
Holly Blue,2004,461090,163380,System.__ComObject
Holly Blue,2007,461090,163380,System.__ComObject
Holly Blue,2008,461090,163380,System.__ComObject
Holly Blue,2010,461090,163380,System.__ComObject
Holly Blue,2004,461060,163370,System.__ComObject
Holly Blue,2003,461020,163470,System.__ComObject
Holly Blue,2004,461020,163470,System.__ComObject
Holly Blue,2004,461380,163480,System.__ComObject
Holly Blue,2004,461380,163480,System.__ComObject
Holly Blue,2004,461380,163480,System.__ComObject
Holly Blue,2006,461380,163480,System.__ComObject
Holly Blue,2004,461300,163370,System.__ComObject
Holly Blue,2004,461260,163320,System.__ComObject
Holly Blue,2002,461200,163380,System.__ComObject
Holly Blue,2003,461200,163380,System.__ComObject
Holly Blue,2001,463370,173790,System.__ComObject
Holly Blue,2001,463370,173790,System.__ComObject
Holly Blue,2005,463510,174140,System.__ComObject
Holly Blue,2006,463840,174110,System.__ComObject
Holly Blue,2004,463370,173790,System.__ComObject
Holly Blue,2004,463370,173790,System.__ComObject
Holly Blue,2005,463370,173790,System.__ComObject
Holly Blue,2006,463370,173790,System.__ComObject
Holly Blue,2001,463450,173940,System.__ComObject
Holly Blue,2001,463450,173940,System.__ComObject
Holly Blue,2001,463450,173940,System.__ComObject
Holly Blue,2002,463450,173940,System.__ComObject
Holly Blue,2002,463450,173940,System.__ComObject
Holly Blue,2003,463450,173940,System.__ComObject
Holly Blue,2004,463450,173940,System.__ComObject
Holly Blue,2004,463450,173940,System.__ComObject
Holly Blue,2005,463450,173940,System.__ComObject
Holly Blue,2005,463450,173940,System.__ComObject
Holly Blue,2005,463450,173940,System.__ComObject
Holly Blue,2007,463450,173940,System.__ComObject
Holly Blue,2001,463930,173950,System.__ComObject
Holly Blue,2005,463930,173950,System.__ComObject
Holly Blue,2008,463930,173950,System.__ComObject
Holly Blue,2003,478500,175800,System.__ComObject
Holly Blue,2008,477934,164251,System.__ComObject
Holly Blue,2008,477934,164251,System.__ComObject
Holly Blue,2006,477983,164471,System.__ComObject
Holly Blue,2006,477983,164471,System.__ComObject
Holly Blue,2006,477983,164471,System.__ComObject
Holly Blue,2006,477983,164471,System.__ComObject
Holly Blue,2007,477983,164471,System.__ComObject
Holly Blue,2007,477983,164471,System.__ComObject
Holly Blue,2008,477983,164471,System.__ComObject
Holly Blue,2008,477983,164471,System.__ComObject
Holly Blue,2007,477934,164251,System.__ComObject
Holly Blue,2007,477934,164251,System.__ComObject
Holly Blue,2007,477934,164251,System.__ComObject
Holly Blue,2007,477934,164251,System.__ComObject
Holly Blue,2008,477934,164251,System.__ComObject
Holly Blue,2008,477934,164251,System.__ComObject
Holly Blue,2008,477983,164471,System.__ComObject
Holly Blue,2008,477983,164471,System.__ComObject
Holly Blue,2008,477983,164471,System.__ComObject
Holly Blue,2007,478142,164478,System.__ComObject
Holly Blue,2007,478142,164478,System.__ComObject
Holly Blue,2008,478142,164478,System.__ComObject
Holly Blue,2008,478142,164478,System.__ComObject
Holly Blue,2004,478390,176000,System.__ComObject
Holly Blue,2005,478390,176000,System.__ComObject
Holly Blue,2004,463400,173800,System.__ComObject
Holly Blue,2004,461500,163500,System.__ComObject
Holly Blue,2004,478500,175800,System.__ComObject
Holly Blue,2004,478500,175800,System.__ComObject
Holly Blue,2001,461500,163500,System.__ComObject
Holly Blue,2001,463500,174000,System.__ComObject
Holly Blue,2001,463400,173800,System.__ComObject
Holly Blue,2001,463400,173800,System.__ComObject
Holly Blue,2001,463500,174000,System.__ComObject
Holly Blue,2001,464000,173900,System.__ComObject
Holly Blue,2001,463500,174000,System.__ComObject
Holly Blue,2002,461500,163500,System.__ComObject
Holly Blue,2002,478500,175800,System.__ComObject
Holly Blue,2004,463500,174000,System.__ComObject
Holly Blue,2005,461300,163600,System.__ComObject
Holly Blue,2004,478500,175800,System.__ComObject
Holly Blue,2004,478500,175800,System.__ComObject
Holly Blue,2004,478500,175800,System.__ComObject
Holly Blue,2004,478500,175800,System.__ComObject
Holly Blue,2004,463400,173800,System.__ComObject
Holly Blue,2004,463500,174000,System.__ComObject
Holly Blue,2005,478500,175800,System.__ComObject
Holly Blue,2006,463500,174200,System.__ComObject
Holly Blue,2004,461500,163500,System.__ComObject
Holly Blue,2004,461500,163500,System.__ComObject
Holly Blue,2004,461500,163500,System.__ComObject
Holly Blue,2004,461500,163500,System.__ComObject
Holly Blue,2002,478500,175800,System.__ComObject
Holly Blue,2002,478500,175800,System.__ComObject
Holly Blue,2002,463300,173800,System.__ComObject
Holly Blue,2002,463500,174000,System.__ComObject
Holly Blue,2002,461500,163500,System.__ComObject
Holly Blue,2002,463500,174000,System.__ComObject
Holly Blue,2002,478500,175800,System.__ComObject
Holly Blue,2002,478500,175800,System.__ComObject
Holly Blue,2002,478500,175800,System.__ComObject
Holly Blue,2003,461500,163500,System.__ComObject
Holly Blue,2003,461500,163500,System.__ComObject
Holly Blue,2003,461500,163500,System.__ComObject
Holly Blue,2003,461500,163500,System.__ComObject
Holly Blue,2003,463500,174000,System.__ComObject
Holly Blue,2010,485160,180050,System.__ComObject
Holly Blue,2010,481270,182190,System.__ComObject
Holly Blue,2004,481240,182040,System.__ComObject
Holly Blue,2006,481240,182040,System.__ComObject
Holly Blue,2002,481270,182370,System.__ComObject
Holly Blue,2005,481270,182370,System.__ComObject
Holly Blue,2004,481240,181960,System.__ComObject
Holly Blue,2004,481240,181960,System.__ComObject
Holly Blue,2004,481240,181960,System.__ComObject
Holly Blue,2008,481240,181960,System.__ComObject
Holly Blue,2004,483840,163050,System.__ComObject
Holly Blue,2010,453710,227390,System.__ComObject
Holly Blue,2003,484500,162700,System.__ComObject
Holly Blue,2001,484350,162410,System.__ComObject
Holly Blue,2002,484350,162410,System.__ComObject
Holly Blue,2004,484350,162410,System.__ComObject
Holly Blue,2004,484060,162550,System.__ComObject
Holly Blue,2005,484210,163010,System.__ComObject
Holly Blue,2006,484210,163010,System.__ComObject
Holly Blue,2001,484440,163070,System.__ComObject
Holly Blue,2004,484440,163070,System.__ComObject
Holly Blue,2004,484440,163070,System.__ComObject
Holly Blue,2008,484440,163070,System.__ComObject
Holly Blue,2008,484440,163070,System.__ComObject
Holly Blue,1998,484650,163220,System.__ComObject
Holly Blue,2004,484650,163220,System.__ComObject
Holly Blue,2008,484650,163220,System.__ComObject
Holly Blue,2010,484650,163220,System.__ComObject
Holly Blue,1999,484760,162940,System.__ComObject
Holly Blue,2003,484760,162940,System.__ComObject
Holly Blue,2004,484760,162940,System.__ComObject
Holly Blue,1998,484430,162980,System.__ComObject
Holly Blue,1998,484430,162980,System.__ComObject
Holly Blue,2001,484430,162980,System.__ComObject
Holly Blue,2004,484430,162980,System.__ComObject
Holly Blue,2004,484430,162980,System.__ComObject
Holly Blue,2004,483910,162460,System.__ComObject
Holly Blue,2009,483910,162460,System.__ComObject
Holly Blue,2003,484200,162700,System.__ComObject
Holly Blue,2003,484500,163600,System.__ComObject
Holly Blue,2003,484500,162900,System.__ComObject
Holly Blue,2004,481200,181900,System.__ComObject
Holly Blue,2004,481200,181900,System.__ComObject
Holly Blue,2005,481200,182000,System.__ComObject
Holly Blue,2004,481200,182000,System.__ComObject
Holly Blue,2004,481200,182000,System.__ComObject
Holly Blue,2004,481200,182000,System.__ComObject
Holly Blue,2004,484500,162900,System.__ComObject
Holly Blue,2004,484100,162500,System.__ComObject
Holly Blue,2004,484300,163300,System.__ComObject
Holly Blue,2004,484400,162900,System.__ComObject
Holly Blue,2004,484700,163300,System.__ComObject
Holly Blue,2005,484300,163000,System.__ComObject
Holly Blue,2001,481300,182200,System.__ComObject
Holly Blue,2001,484200,162700,System.__ComObject
Holly Blue,2001,484200,162700,System.__ComObject
Holly Blue,2001,484200,162700,System.__ComObject
Holly Blue,2001,484200,162700,System.__ComObject
Holly Blue,2001,484200,162700,System.__ComObject
Holly Blue,2001,484500,163000,System.__ComObject
Holly Blue,2002,490600,178700,System.__ComObject
Holly Blue,2001,484300,163300,System.__ComObject
Holly Blue,2001,484400,162900,System.__ComObject
Holly Blue,2002,485600,168200,System.__ComObject
Holly Blue,2002,481300,182200,System.__ComObject
Holly Blue,2002,494100,182000,System.__ComObject
Holly Blue,2002,484200,162700,System.__ComObject
Holly Blue,2002,484200,162700,System.__ComObject
Holly Blue,2002,489300,173800,System.__ComObject
Holly Blue,2002,484300,163300,System.__ComObject
Holly Blue,2002,481200,182000,System.__ComObject
Holly Blue,2007,484200,162800,System.__ComObject
Holly Blue,2004,490300,178700,System.__ComObject
Holly Blue,2004,484500,163000,System.__ComObject
Holly Blue,2004,484400,162900,System.__ComObject
Holly Blue,2004,484500,163000,System.__ComObject
Holly Blue,2005,453780,227080,System.__ComObject
Holly Blue,1999,489400,173600,System.__ComObject
Holly Blue,2008,465790,220040,System.__ComObject
Holly Blue,2005,453560,227250,System.__ComObject
Holly Blue,2005,453560,227250,System.__ComObject
Holly Blue,2005,453560,227250,System.__ComObject
Holly Blue,2008,453560,227250,System.__ComObject
Holly Blue,2010,435645,231377,System.__ComObject
Holly Blue,2008,424840,220500,System.__ComObject
Holly Blue,2008,424840,220500,System.__ComObject
Holly Blue,1985,425850,220870,System.__ComObject
Holly Blue,1985,424840,220500,System.__ComObject
Holly Blue,1985,424690,220130,System.__ComObject
Holly Blue,1990,424840,220500,System.__ComObject
Holly Blue,1990,424840,220500,System.__ComObject
Holly Blue,1990,424840,220500,System.__ComObject
Holly Blue,1990,425290,220530,System.__ComObject
Holly Blue,1990,424840,220500,System.__ComObject
Holly Blue,1991,425850,220870,System.__ComObject
Holly Blue,1991,425290,220530,System.__ComObject
Holly Blue,1991,424840,220500,System.__ComObject
Holly Blue,1991,425850,220870,System.__ComObject
Holly Blue,1991,425850,220870,System.__ComObject
Holly Blue,1991,424840,220500,System.__ComObject
Holly Blue,1991,425850,220870,System.__ComObject
Holly Blue,1991,425850,220870,System.__ComObject
Holly Blue,1992,425850,220870,System.__ComObject
Holly Blue,1992,425290,220530,System.__ComObject
Holly Blue,1992,424840,220500,System.__ComObject
Holly Blue,1992,425850,220870,System.__ComObject
Holly Blue,1992,425290,220530,System.__ComObject
Holly Blue,1992,425850,220870,System.__ComObject
Holly Blue,1992,425290,220530,System.__ComObject
Holly Blue,1992,424840,220500,System.__ComObject
Holly Blue,1992,424840,220500,System.__ComObject
Holly Blue,1992,425290,220530,System.__ComObject
Holly Blue,1992,425290,220530,System.__ComObject
Holly Blue,1992,424840,220500,System.__ComObject
Holly Blue,1992,424840,220500,System.__ComObject
Holly Blue,1997,425850,220870,System.__ComObject
Holly Blue,1997,424840,220500,System.__ComObject
Holly Blue,1997,424840,220500,System.__ComObject
Holly Blue,1998,424840,220500,System.__ComObject
